»Ìslo;N·zev;VoliËi v seznamu;VydanÈ ob·lky;VolebnÌ ˙Ëast v %;OdevzdanÈ ob·lky;PlatnÈ hlasy; % platn˝ch hlas˘;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
552356;Babice;370;256;69,19;256;254;99,22;13;0;0;10;0;18;25;1;5;2;1;0;17;0;5;79;0;0;9;0;0;2;0;66;1
500526;BÏlkovice-Laöùany;1†801;1†079;59,91;1†078;1†069;99,17;97;0;0;83;1;44;81;18;6;15;1;1;104;0;32;333;1;2;75;0;6;8;1;153;7
500623;BÌl· Lhota;931;568;61,01;568;565;99,47;31;0;0;42;0;20;73;4;6;6;0;5;53;2;12;164;0;0;62;0;0;3;1;81;0
552062;BÌlsko;172;119;69,19;119;119;100,00;8;0;1;11;0;7;3;1;1;0;1;0;12;0;1;27;0;0;25;0;0;1;0;20;0
500801;Blatec;497;320;64,39;320;319;99,69;21;0;0;28;0;19;26;7;1;3;0;0;25;0;7;110;0;1;26;0;1;0;0;43;1
500852;BohuÚovice;2†030;1†352;66,60;1†351;1†340;99,19;135;4;2;59;6;49;98;24;15;28;8;1;139;0;43;445;3;4;103;2;7;5;3;152;5
500861;Bouzov;1†261;778;61,70;778;771;99,10;53;3;1;65;2;18;100;14;6;4;0;1;78;0;27;213;0;1;85;0;8;2;2;88;0
552402;Bukovany;528;369;69,89;369;369;100,00;44;1;0;19;1;17;21;10;0;3;0;0;47;0;13;93;0;0;56;0;0;5;0;35;4
500879;BystroËice;620;384;61,94;384;384;100,00;63;0;0;40;0;15;31;3;0;1;2;0;32;0;7;130;1;0;19;0;2;1;4;32;1
547026;Bystrovany;804;555;69,03;555;553;99,64;71;0;0;33;2;25;25;4;1;11;3;0;62;0;30;164;2;1;52;0;2;1;1;62;1
552186;»ervenka;1†119;720;64,34;720;716;99,44;46;1;0;63;0;28;66;8;3;8;1;0;61;0;14;214;2;2;83;1;3;7;0;100;5
552445;Daskab·t;486;323;66,46;323;320;99,07;18;1;0;16;0;11;26;5;5;10;0;0;32;0;3;139;1;0;25;0;1;1;0;26;0
501476;Dlouh· LouËka;1†562;854;54,67;853;850;99,65;62;0;0;57;3;63;77;12;9;17;1;0;76;3;26;277;0;0;24;2;3;3;0;132;3
501646;Dolany;2†107;1†418;67,30;1†418;1†408;99,29;160;1;1;84;1;87;75;18;4;20;1;3;169;1;55;426;2;1;135;0;15;2;1;141;5
568392;Doloplazy;1†063;655;61,62;655;640;97,71;71;0;0;39;2;24;42;8;5;12;3;4;44;0;14;167;0;2;104;0;5;5;3;86;0
545279;Domaöov nad Byst¯icÌ;402;208;51,74;208;206;99,04;9;0;0;19;0;6;29;1;2;1;2;0;12;0;1;73;0;0;4;0;1;0;0;46;0
552313;Domaöov u äternberka;258;139;53,88;139;139;100,00;21;0;0;8;0;2;12;0;0;0;0;0;12;0;6;54;0;0;8;0;0;0;0;16;0
501751;Drahanovice;1†403;838;59,73;835;832;99,64;39;1;1;62;3;47;85;9;4;11;2;2;60;0;19;256;0;0;73;0;4;4;1;144;5
501794;Dub nad Moravou;1†277;779;61,00;778;774;99,49;37;4;0;71;1;27;61;6;4;13;1;2;89;2;14;242;0;1;95;0;4;0;4;93;3
552071;DubËany;189;108;57,14;108;108;100,00;3;0;0;16;0;10;9;0;1;0;0;0;6;0;1;21;0;0;33;0;1;0;0;7;0
501841;Grygov;1†181;790;66,89;790;788;99,75;65;0;0;68;4;30;74;15;4;25;3;3;76;0;12;250;0;2;48;0;8;6;2;89;4
552178;HaÚovice;377;262;69,50;262;261;99,62;19;0;2;26;0;2;19;0;0;4;0;0;11;0;7;75;0;3;45;0;3;1;1;42;1
552330;Hl·snice;159;91;57,23;91;91;100,00;7;0;0;4;0;1;5;1;0;4;0;0;8;0;9;25;0;0;15;0;0;0;0;12;0
502146;HluboËky;3†544;1†929;54,43;1†928;1†920;99,59;139;1;1;171;0;39;231;26;22;33;2;2;166;0;32;671;0;7;104;1;13;3;4;244;8
552020;Hluöovice;638;440;68,97;440;439;99,77;62;1;2;43;0;19;14;10;3;4;0;0;38;1;26;137;0;1;26;0;6;1;0;44;1
502235;HnÏvotÌn;1†350;869;64,37;869;862;99,19;109;2;2;68;1;36;55;9;3;7;0;1;77;1;36;271;1;1;49;0;6;2;0;123;2
502405;Hnojice;488;303;62,09;303;303;100,00;25;1;0;14;0;7;18;7;4;6;1;1;12;2;12;98;2;1;36;0;2;1;1;49;3
502545;Horka nad Moravou;1†919;1†277;66,55;1†277;1†271;99,53;129;1;3;62;2;91;100;9;8;11;3;2;106;0;51;414;0;1;71;2;3;7;4;189;2
569798;HornÌ LodÏnice;267;123;46,07;123;123;100,00;6;0;0;6;0;7;26;2;0;3;2;1;9;0;3;32;0;1;11;0;0;0;0;13;1
546976;HraniËnÈ Petrovice;117;73;62,39;73;73;100,00;9;0;0;2;0;5;16;0;3;2;0;0;4;0;2;18;0;0;6;0;1;0;1;3;1
597414;Huzov·;479;222;46,35;222;221;99,55;9;0;1;16;0;8;28;0;1;2;0;0;20;0;5;60;0;0;10;0;1;1;0;58;1
568872;Charv·ty;675;428;63,41;428;425;99,30;21;3;1;19;0;12;28;1;2;7;2;1;30;0;13;138;2;4;85;0;0;1;0;54;1
